model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Fiesta,2020,29499,Automatic,38850,Diesel,249,30.8,1.2
Fiesta,2020,12637,Automatic,49786,Diesel,188,49.1,1.8
Fiesta,2016,12854,Automatic,1925,Petrol,121,57.5,1.1
Focus,2018,27561,Manual,18440,Petrol,191,58.9,1.4
Fiesta,2020,18320,Automatic,39685,Diesel,128,57.7,1.5
Focus,2019,26564,Automatic,52296,Petrol,112,35.4,1.9
Focus,2021,12892,Automatic,59614,Diesel,101,42,1.5
Focus,2016,15043,Manual,26015,Hybrid,128,44.3,1.2
Focus,2016,24521,Manual,33320,Petrol,279,62.2,1.3
Fiesta,2018,27856,Manual,25291,Diesel,126,41.2,1.3
Fiesta,2016,29833,Automatic,54535,Hybrid,149,38.4,2.9
Focus,2016,27216,Manual,36679,Hybrid,194,68.3,2.5
Focus,2020,27963,Manual,26289,Hybrid,250,30.4,2.9
Fiesta,2018,12164,Automatic,3389,Diesel,187,69.9,1.9
Focus,2020,15941,Automatic,25683,Diesel,143,57.1,1.6
Focus,2021,22388,Manual,13629,Diesel,121,63.1,2.6
Fiesta,2022,13569,Automatic,24826,Hybrid,270,41.8,1.7
Focus,2021,12300,Manual,35198,Hybrid,264,30.6,1.6
Fiesta,2022,14269,Automatic,26630,Hybrid,288,59.5,1.5
Focus,2020,11818,Manual,33226,Diesel,196,63.4,1.3
Fiesta,2021,20015,Automatic,46163,Diesel,283,59.6,1.5
Fiesta,2018,20234,Manual,32975,Petrol,102,35.7,1.7
Focus,2015,26290,Manual,899,Hybrid,290,60.1,2.3
Fiesta,2020,14254,Automatic,11653,Diesel,217,60.8,1.1
Fiesta,2022,25144,Automatic,27961,Petrol,118,56.3,1.4
Focus,2019,15350,Automatic,16405,Petrol,122,60.6,2.6
Fiesta,2022,23183,Automatic,8601,Hybrid,256,63.8,1.3
Fiesta,2019,14238,Manual,33662,Hybrid,129,54.5,1.7
Focus,2016,14090,Manual,33282,Diesel,138,33.5,2.7
Focus,2021,19637,Manual,56446,Petrol,207,49.5,1.3
Fiesta,2019,20647,Automatic,21288,Hybrid,210,33.1,1.2
Fiesta,2022,17911,Manual,57019,Hybrid,124,46.3,2
Focus,2016,16472,Manual,29545,Petrol,227,46.3,1.6
Focus,2015,26271,Manual,36877,Hybrid,210,32.6,2.1
Fiesta,2018,11266,Manual,46026,Petrol,235,44,2.6
Fiesta,2018,8666,Manual,15313,Petrol,205,34.4,1.3
Fiesta,2018,12188,Automatic,15349,Hybrid,285,62.3,2.2
Fiesta,2019,25055,Automatic,7179,Petrol,243,67.9,2
Fiesta,2015,18161,Automatic,10326,Petrol,171,32.9,1.3
Focus,2019,19314,Automatic,44555,Diesel,228,68.2,2.2
Fiesta,2021,29508,Manual,1560,Petrol,207,50.9,1.5
Fiesta,2019,29969,Automatic,13612,Hybrid,104,42,2
Fiesta,2015,20891,Automatic,17650,Petrol,102,33.1,1.2
Focus,2015,12777,Automatic,26745,Petrol,292,50,1.9
Fiesta,2021,11900,Manual,31890,Hybrid,231,61.8,1.6
Focus,2015,21716,Manual,20022,Petrol,203,58.3,2.6
Focus,2022,14981,Manual,58093,Petrol,163,32,1.1
Fiesta,2015,14376,Manual,52579,Petrol,205,32.9,1.8
Fiesta,2018,24907,Manual,4780,Hybrid,197,46.1,1.9
Focus,2022,26777,Manual,18311,Diesel,109,41.8,2.5
Focus,2022,26977,Automatic,28380,Diesel,248,39.3,2.1
Focus,2021,18160,Automatic,44662,Petrol,227,41.2,2.3
Focus,2017,22124,Automatic,2356,Hybrid,145,62.1,2.6
Focus,2017,24282,Automatic,4790,Hybrid,254,67.2,2.7
Fiesta,2015,18488,Automatic,26911,Hybrid,165,46.2,1.6
Fiesta,2022,13240,Automatic,49458,Hybrid,268,66.2,2.1
Fiesta,2017,18453,Automatic,24363,Diesel,211,42.9,2.7
Fiesta,2017,18478,Manual,20049,Hybrid,112,49.1,3
Focus,2015,20394,Manual,10181,Diesel,236,39,2.8
Fiesta,2017,27262,Automatic,39825,Petrol,263,55.6,1.7
Fiesta,2019,28527,Automatic,16082,Petrol,185,69.2,1.4
Fiesta,2016,28028,Manual,661,Hybrid,189,54.1,2
Fiesta,2021,12432,Automatic,37412,Hybrid,157,44.3,2.5
Fiesta,2016,21568,Automatic,48479,Diesel,153,55.9,2
Fiesta,2015,22178,Automatic,57655,Petrol,111,34.9,2
Fiesta,2018,25660,Manual,2920,Petrol,113,65.5,2.7
Fiesta,2021,8302,Manual,25658,Hybrid,220,50.1,1.7
Fiesta,2015,25022,Automatic,48770,Hybrid,261,48,2.7
Focus,2022,8055,Manual,14025,Diesel,280,53.4,1.8
Fiesta,2018,21013,Manual,8946,Hybrid,220,55,1.7
Fiesta,2016,16717,Manual,28706,Diesel,119,32.9,1.9
Focus,2015,16150,Automatic,45500,Petrol,174,57.3,2.5
Focus,2022,10125,Manual,39004,Hybrid,243,39.7,1.3
Fiesta,2021,19479,Manual,16309,Hybrid,169,58.6,1.4
Fiesta,2021,23745,Automatic,55230,Hybrid,155,62.9,2.9
Focus,2020,24748,Automatic,46286,Diesel,200,62.2,1.4
Fiesta,2022,14809,Automatic,33120,Petrol,285,52.1,2.1
Focus,2019,12621,Manual,58246,Petrol,231,50.8,2.2
Focus,2017,23034,Manual,30027,Petrol,210,35.7,2
Fiesta,2018,21623,Automatic,7005,Hybrid,224,61,2.3
Fiesta,2022,13126,Automatic,46804,Petrol,231,40.9,1.5
Fiesta,2020,13122,Manual,49310,Petrol,119,49.9,2.1
Focus,2017,26030,Manual,59321,Petrol,237,41.4,1.7
Focus,2017,25302,Automatic,956,Hybrid,123,35.4,2.3
Focus,2015,27181,Manual,34839,Hybrid,253,55.2,1.3
Focus,2017,13870,Automatic,8595,Diesel,136,32.2,2.1
Focus,2019,9531,Manual,47908,Diesel,153,59.9,1.4
Fiesta,2021,16172,Automatic,12803,Diesel,202,42.7,1.6
Fiesta,2020,27729,Manual,25963,Diesel,248,30,1.4
Fiesta,2017,15673,Automatic,36221,Petrol,137,50.4,1.4
Focus,2015,14882,Manual,39443,Diesel,273,31.9,2.7
Focus,2019,9906,Automatic,33723,Diesel,103,41,1.6
Fiesta,2016,11086,Manual,39063,Diesel,287,58.3,2.9
Fiesta,2021,21503,Automatic,48689,Hybrid,156,32.5,2.9
Fiesta,2021,16152,Automatic,50864,Petrol,272,63.6,2.1
Fiesta,2020,13750,Automatic,15282,Hybrid,119,30.2,1.3
Focus,2021,20772,Automatic,4703,Petrol,116,39.9,1.7
Fiesta,2017,18267,Automatic,6563,Diesel,218,59.6,2.6
Focus,2015,9062,Manual,25849,Hybrid,170,42.7,1.7
Fiesta,2021,26360,Automatic,31860,Petrol,103,34.1,1.2
Focus,2021,25680,Manual,31585,Hybrid,113,44.4,2.1
Focus,2016,14229,Automatic,22015,Hybrid,102,40.8,2.7
Fiesta,2016,24509,Manual,12003,Petrol,179,63.7,2.6
Fiesta,2018,23147,Automatic,43585,Petrol,285,42.5,1.4
Focus,2019,12632,Automatic,26958,Diesel,154,61.6,2.3
Fiesta,2017,14288,Manual,26017,Diesel,231,65.7,1.4
Fiesta,2021,11596,Automatic,11171,Diesel,219,47.4,1.4
Fiesta,2022,19475,Manual,59141,Hybrid,123,66.4,2.7
Fiesta,2021,14168,Manual,45350,Diesel,261,45.1,1.5
Fiesta,2015,17795,Automatic,12201,Petrol,257,68.6,1.5
Fiesta,2018,15561,Automatic,29426,Hybrid,181,33.6,1
Focus,2019,16258,Manual,17778,Petrol,246,57.5,2.7
Focus,2022,24616,Automatic,45241,Hybrid,258,49.8,2.6
Focus,2018,14371,Automatic,42229,Petrol,287,45.5,2.3
Fiesta,2020,28590,Automatic,21116,Petrol,159,55.3,2.5
Focus,2019,22369,Manual,52866,Diesel,246,58.2,1.3
Fiesta,2021,20910,Automatic,48364,Diesel,148,30.2,1.9
Fiesta,2021,15943,Manual,33297,Hybrid,162,36.7,1.7
Focus,2019,20199,Manual,19342,Diesel,209,58.5,1.2
Fiesta,2021,23728,Manual,57056,Hybrid,249,56.7,2
Focus,2017,14738,Manual,27490,Petrol,251,68.6,2.8
Focus,2019,23913,Automatic,19975,Hybrid,208,60.4,1.1
Focus,2018,10472,Automatic,26723,Petrol,175,68,1.6
Focus,2019,27123,Manual,23279,Petrol,129,58.1,1.4
Focus,2022,29785,Manual,12765,Petrol,157,41.9,1.5
Focus,2021,23679,Manual,46678,Hybrid,216,34.2,2.8
Fiesta,2017,9761,Manual,11561,Hybrid,258,61.3,1.9
Fiesta,2017,18167,Automatic,41899,Diesel,199,55.8,1.9
Focus,2020,18554,Manual,525,Diesel,291,31.9,2.5
Fiesta,2018,25260,Manual,22861,Petrol,118,44.4,1.3
Fiesta,2016,22277,Manual,49153,Petrol,275,68.3,2
Fiesta,2016,11812,Manual,33142,Hybrid,272,50,1.9
Focus,2019,25844,Manual,26916,Diesel,193,47.3,2.2
Fiesta,2020,26117,Automatic,44965,Hybrid,282,48.3,3
Fiesta,2015,9605,Automatic,4648,Hybrid,212,38.4,2.5
Focus,2019,13622,Automatic,35133,Hybrid,282,44.7,1.8
Fiesta,2020,14767,Automatic,50677,Petrol,245,44.8,2.7
Fiesta,2018,19613,Automatic,30523,Petrol,162,32.1,1.3
Fiesta,2018,27901,Manual,29052,Diesel,215,60.7,1.1
Fiesta,2018,18589,Automatic,34414,Petrol,212,46.7,1.4
Fiesta,2018,21918,Manual,32781,Petrol,146,62.9,1.7
Fiesta,2018,28119,Automatic,4599,Hybrid,156,64,2
Fiesta,2020,21046,Automatic,35046,Petrol,217,38.5,2.2
Focus,2020,10590,Automatic,47064,Hybrid,144,56.3,2.8
Fiesta,2017,25447,Automatic,35923,Diesel,260,48.9,2
Fiesta,2022,12324,Manual,41089,Petrol,244,65.2,2
Fiesta,2016,18787,Automatic,3814,Diesel,297,38.6,1.1
Fiesta,2021,17111,Manual,45893,Petrol,103,57.1,1.1
Focus,2018,13342,Automatic,35984,Hybrid,247,54.3,2.1
Focus,2015,24389,Automatic,26616,Petrol,146,41.8,1.9
Focus,2021,16659,Automatic,57371,Hybrid,242,35.5,2.7
Fiesta,2020,22043,Manual,2113,Diesel,297,56.1,1.3
Focus,2015,16837,Manual,58596,Hybrid,146,59.5,1
Fiesta,2015,8117,Automatic,53508,Hybrid,177,42.6,1.9
Focus,2015,21917,Automatic,43006,Diesel,223,55.8,1.5
Focus,2017,26935,Manual,13760,Diesel,174,45.8,1.1
Fiesta,2020,22309,Manual,21927,Hybrid,202,58.5,2.4
Focus,2015,21234,Automatic,20939,Petrol,236,38,1.2
Focus,2018,13560,Automatic,32419,Hybrid,189,65.6,2.2
Focus,2019,28673,Manual,12588,Hybrid,243,41.5,1.6
Fiesta,2015,8846,Automatic,56214,Petrol,168,44.7,1.3
Fiesta,2017,18954,Manual,36142,Hybrid,160,32.3,1.8
Focus,2021,21703,Automatic,39198,Hybrid,237,34.5,2.6
Fiesta,2020,23385,Automatic,52618,Diesel,149,50.6,1.8
Fiesta,2022,21746,Manual,52233,Petrol,102,40.7,2.5
Fiesta,2017,14469,Manual,44738,Petrol,206,63.4,1.3
Focus,2015,17333,Automatic,33397,Diesel,212,30.6,2.5
Fiesta,2020,24608,Manual,16653,Petrol,193,45.2,1.5
Focus,2019,20819,Automatic,10831,Petrol,217,43.5,2.4
Fiesta,2015,12208,Manual,59337,Diesel,297,30.8,2.1
Fiesta,2017,14283,Manual,5724,Hybrid,180,35,2.9
Focus,2016,10048,Manual,55049,Hybrid,208,46.5,1.8
Focus,2018,14233,Manual,11083,Hybrid,150,49.7,1.1
Fiesta,2022,20941,Automatic,45917,Diesel,246,46.2,1
Focus,2021,20607,Automatic,19816,Diesel,269,51.2,2.7
Focus,2017,17765,Manual,42240,Petrol,134,53.8,2
Fiesta,2020,9828,Automatic,6276,Hybrid,145,30.4,2.6
Focus,2022,9917,Automatic,48403,Diesel,253,48.6,1.5
Fiesta,2022,28618,Automatic,38663,Diesel,168,68.5,1.7
Fiesta,2022,14988,Automatic,13994,Diesel,192,50.8,1.1
Focus,2015,26410,Automatic,23499,Petrol,163,57.1,2.9
Fiesta,2018,22594,Automatic,23040,Diesel,264,42.5,2.3
Fiesta,2015,28128,Manual,43320,Hybrid,148,61,2.9
Fiesta,2020,20977,Automatic,16959,Diesel,248,60.9,1.5
Focus,2015,8009,Manual,56181,Diesel,173,50.9,2.2
Focus,2016,24644,Automatic,6099,Petrol,291,69,2.4
Fiesta,2018,17865,Manual,42267,Hybrid,104,35,1.6
Focus,2018,10219,Automatic,19576,Hybrid,199,30.7,2.7
Fiesta,2020,15041,Automatic,35946,Hybrid,169,60.8,2.9
Focus,2021,26444,Automatic,55204,Diesel,189,62.3,2.8
Focus,2016,13287,Manual,51886,Petrol,103,34.8,2.5
Focus,2017,9619,Automatic,6116,Hybrid,225,40.6,1.6
Fiesta,2015,16512,Manual,15563,Diesel,138,30.7,1.6
Fiesta,2019,9342,Manual,26788,Petrol,262,41.7,2.9
Focus,2015,18568,Automatic,26928,Hybrid,228,60.9,1
Focus,2022,27216,Automatic,36336,Petrol,123,50.7,2.4
Fiesta,2015,27208,Automatic,9847,Petrol,156,43.9,2.4
Fiesta,2017,26378,Manual,26155,Diesel,199,44.9,2.2
Focus,2015,22231,Manual,14135,Petrol,169,30.1,3
Fiesta,2016,11490,Automatic,51355,Diesel,140,42,1.6
Focus,2016,17310,Automatic,17774,Hybrid,281,55.9,1.7
Fiesta,2018,15984,Automatic,1742,Hybrid,273,69,1.2
Focus,2020,25988,Manual,18309,Petrol,159,63.9,1.9
Focus,2021,20219,Manual,619,Hybrid,207,30.9,1.5
Fiesta,2019,8235,Automatic,17658,Diesel,287,65.9,1.7
Fiesta,2022,18161,Automatic,50108,Diesel,156,61.3,2.7
Fiesta,2015,9908,Manual,34707,Diesel,130,61.2,2.9
Fiesta,2015,16567,Automatic,20337,Petrol,183,48.3,1.4
Fiesta,2017,11530,Automatic,59725,Petrol,251,45.9,1.7
Focus,2020,13256,Manual,16001,Petrol,135,42.1,2.9
Fiesta,2016,27019,Manual,968,Diesel,257,32.6,1.1
Focus,2019,16162,Automatic,47614,Diesel,251,39.1,1.2
Fiesta,2018,26944,Automatic,25892,Diesel,207,39.9,1.3
Fiesta,2016,13415,Manual,25619,Diesel,205,49.4,2.2
Focus,2022,11391,Manual,281,Petrol,257,59.9,1.3
Focus,2020,19157,Manual,27420,Petrol,185,49,2.9
Fiesta,2022,13951,Manual,15360,Petrol,234,32.3,1.9
Focus,2021,29852,Manual,39030,Petrol,262,68.3,2
Fiesta,2018,16007,Automatic,1058,Diesel,282,67.7,1.5
Fiesta,2021,17064,Manual,20677,Diesel,113,61.4,1.9
Fiesta,2017,29204,Manual,10724,Hybrid,219,69.7,2.3
Focus,2022,23524,Automatic,28404,Hybrid,237,51.8,2.5
Focus,2017,27282,Manual,37946,Hybrid,179,68.5,2.5
Fiesta,2015,8077,Automatic,39748,Diesel,243,33,2.2
Fiesta,2021,15577,Manual,29856,Petrol,281,44.6,2.8
Fiesta,2020,28611,Manual,9200,Petrol,205,39,2.6
Fiesta,2022,24984,Manual,33997,Petrol,169,37.8,2.5
Focus,2019,22060,Manual,25611,Diesel,143,35.6,1.1
Fiesta,2018,25449,Automatic,53737,Hybrid,172,54.9,1
Fiesta,2016,26520,Manual,41235,Petrol,144,61.3,1.4
Focus,2020,18535,Automatic,51892,Hybrid,283,53.1,2.3
Focus,2020,17510,Automatic,35057,Hybrid,206,35.9,1.8
Fiesta,2017,14943,Manual,1239,Diesel,183,62.4,1.8
Focus,2021,19954,Automatic,38138,Diesel,181,55.4,2.8
Fiesta,2022,15804,Automatic,48938,Petrol,206,45.5,2.8
Fiesta,2022,14565,Automatic,125,Diesel,284,57,2.8
Focus,2015,13984,Manual,45272,Diesel,120,40.4,1.6
Fiesta,2015,29526,Manual,23857,Diesel,295,43.8,2.4
Focus,2018,12670,Automatic,58552,Petrol,277,66.7,1.5
Fiesta,2017,26574,Automatic,15398,Hybrid,260,41.6,1.4
Fiesta,2020,17184,Manual,54494,Hybrid,106,48.8,1.4
Focus,2022,27096,Automatic,56503,Petrol,169,65.6,1.7
Focus,2019,10192,Automatic,6638,Hybrid,226,58.3,1.9
Focus,2017,9248,Automatic,6570,Hybrid,242,32.5,2.7
Fiesta,2018,19246,Automatic,3249,Petrol,259,35.9,1.2
Fiesta,2018,20790,Automatic,9110,Hybrid,247,30.3,2.5
Fiesta,2017,28417,Automatic,40363,Diesel,242,55.2,2.1
Fiesta,2018,26381,Manual,13605,Petrol,275,47.9,1.6
Focus,2017,11687,Manual,12115,Petrol,298,35.4,2
Focus,2016,12018,Manual,39062,Diesel,248,68.3,1.6
Focus,2017,19302,Automatic,22911,Diesel,269,51.2,2.2
Fiesta,2021,9970,Manual,38525,Diesel,253,39.7,1.9
Focus,2017,16389,Automatic,32556,Diesel,219,50,1.3
Focus,2018,25586,Automatic,12595,Petrol,227,57.2,1.2
Focus,2022,29951,Manual,1969,Petrol,241,33,2.1
Focus,2021,23374,Manual,43753,Petrol,156,41,2.8
Fiesta,2018,13788,Automatic,17275,Diesel,264,62.3,1.7
Fiesta,2015,13408,Manual,4470,Diesel,157,48.4,2.5
Focus,2015,17446,Manual,56327,Diesel,120,51.9,2.3
Fiesta,2022,8922,Automatic,10225,Diesel,181,47.3,2.9
Focus,2022,8419,Automatic,42324,Diesel,168,31.8,2.6
Fiesta,2021,26588,Manual,57472,Petrol,230,36.6,2.1
Fiesta,2016,18789,Automatic,41974,Diesel,186,47.8,2.3
Focus,2022,9120,Manual,42759,Diesel,264,38.4,2.8
Focus,2015,19260,Manual,23196,Petrol,148,32,1.8
Focus,2017,25334,Automatic,40287,Hybrid,246,63.7,1.7
Focus,2018,10336,Automatic,13669,Hybrid,214,69.2,1
Fiesta,2015,13373,Manual,37380,Diesel,188,61.7,2.7
Focus,2015,10243,Automatic,58862,Hybrid,184,64.2,2.6
Fiesta,2016,27029,Manual,45141,Hybrid,227,39.7,1.2
Focus,2021,12612,Automatic,50350,Petrol,239,68.4,2.2
Fiesta,2021,21946,Automatic,48320,Diesel,288,37.9,1.9
Focus,2020,26249,Manual,47414,Petrol,268,68.1,1.2
Fiesta,2016,19104,Automatic,38006,Petrol,260,69.8,3
Fiesta,2017,21429,Manual,15577,Diesel,277,58.5,1.4
Focus,2021,14371,Automatic,59818,Petrol,216,69.2,1.1
Focus,2018,14359,Manual,22473,Diesel,295,52.8,2.2
Fiesta,2022,15863,Manual,55409,Diesel,226,40.4,2.5
Focus,2016,11228,Automatic,28625,Hybrid,170,47.5,1.1
Focus,2022,28103,Manual,15504,Diesel,185,53.7,2.3
Fiesta,2015,22382,Automatic,24089,Diesel,132,32.9,2.1
Focus,2018,26755,Manual,36487,Diesel,180,54.9,1.2
Focus,2018,10891,Manual,302,Diesel,251,69.2,1.3
Focus,2015,11756,Manual,31463,Diesel,160,37.6,2.1
Focus,2016,28609,Automatic,44912,Hybrid,160,61.7,1.6
Focus,2015,23770,Automatic,29259,Hybrid,197,66.3,2.9
Focus,2022,24478,Manual,50138,Petrol,127,67.7,2.6
Fiesta,2020,10674,Automatic,42823,Diesel,285,68.4,3
Fiesta,2018,14898,Automatic,37208,Diesel,142,50.9,1.5
Focus,2019,18147,Manual,54061,Hybrid,268,69.1,2.9
Focus,2019,8793,Manual,30659,Hybrid,266,60.3,1.9
Fiesta,2022,10116,Manual,35840,Petrol,185,36.5,1.7
Focus,2017,13779,Automatic,31890,Diesel,276,49.1,1.1
Focus,2021,20298,Manual,13598,Diesel,116,58.7,1.1
Fiesta,2015,22153,Manual,47055,Petrol,197,39.9,2.4
Focus,2015,19111,Automatic,46733,Diesel,297,55.6,1.9
Focus,2017,18789,Manual,19508,Diesel,297,56.7,1.5
Fiesta,2017,19397,Automatic,42287,Diesel,197,36.5,2.2
Focus,2022,20999,Manual,13380,Hybrid,164,52.6,1.5
Focus,2022,8814,Automatic,26984,Hybrid,173,60.9,2.2
Focus,2017,24729,Manual,44633,Hybrid,184,50,1.7
Focus,2018,18541,Manual,8125,Diesel,104,30.5,2.6
Focus,2022,10443,Manual,36059,Hybrid,101,30.4,2.6
Fiesta,2020,18457,Automatic,4033,Petrol,121,44.3,2
Focus,2022,18380,Automatic,37873,Diesel,211,67,1.7
Fiesta,2015,15783,Manual,17087,Diesel,156,39.1,1.7
Fiesta,2022,19473,Manual,40901,Diesel,165,55.4,2.6
Focus,2018,25368,Automatic,49726,Diesel,173,38.9,1.7
Focus,2017,23328,Manual,5704,Diesel,197,42.9,1.4
Fiesta,2015,8827,Manual,7848,Petrol,243,63.9,1.2
Fiesta,2022,27915,Manual,21592,Hybrid,211,59.2,1.9
Focus,2018,15147,Automatic,45743,Petrol,278,33.8,2
Fiesta,2020,12451,Automatic,6924,Hybrid,224,47.1,2.7
Fiesta,2022,23343,Manual,27208,Hybrid,266,31.2,1.4
Fiesta,2018,21635,Automatic,52980,Petrol,185,49.2,1.8
Fiesta,2020,28260,Manual,19614,Hybrid,175,56.5,2.6
Fiesta,2017,13959,Automatic,488,Hybrid,187,34.7,2.6
Fiesta,2022,8126,Manual,39882,Petrol,267,41.6,1.8
Focus,2020,27561,Manual,25923,Hybrid,137,45.9,1.9
Fiesta,2015,16795,Automatic,48508,Diesel,287,66.8,1.6
Focus,2017,19641,Manual,35941,Hybrid,158,69.7,2.9
